MitoPathway,MitoPathway Hierarchy
Mitochondrial central dogma,Mitochondrial central dogma
mtDNA maintenance,Mitochondrial central dogma > mtDNA maintenance
mtDNA replication,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication
mtDNA nucleoid,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
mtDNA repair,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
mtDNA modifications,Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications
mtDNA stability and decay,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay
mtRNA metabolism,Mitochondrial central dogma > mtRNA metabolism
Transcription,Mitochondrial central dogma > mtRNA metabolism > Transcription
mtRNA granules,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
Polycistronic mtRNA processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
mt-tRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
mt-rRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
mt-mRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications
mtRNA stability and decay,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
Translation,Mitochondrial central dogma > Translation
Mitochondrial ribosome,Mitochondrial central dogma > Translation > Mitochondrial ribosome
Mitochondrial ribosome assembly,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
Translation factors,Mitochondrial central dogma > Translation > Translation factors
mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases
fMet processing,Mitochondrial central dogma > Translation > fMet processing
"Protein import, sorting and homeostasis","Protein import, sorting and homeostasis"
Protein import and sorting,"Protein import, sorting and homeostasis > Protein import and sorting"
TOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
SAM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM"
MIA40,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
TIM22 carrier pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"
TIM23 presequence pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
Import motor,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
OXA,"Protein import, sorting and homeostasis > Protein import and sorting > OXA"
Preprotein cleavage,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage"
Protein homeostasis,"Protein import, sorting and homeostasis > Protein homeostasis"
Proteases,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
Chaperones,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
OXPHOS,OXPHOS
OXPHOS subunits,OXPHOS > OXPHOS subunits
OXPHOS assembly factors,OXPHOS > OXPHOS assembly factors
Complex I,OXPHOS > Complex I
CI subunits,OXPHOS > Complex I > CI subunits
CI assembly factors,OXPHOS > Complex I > CI assembly factors
Complex II,OXPHOS > Complex II
CII subunits,OXPHOS > Complex II > CII subunits
CII assembly factors,OXPHOS > Complex II > CII assembly factors
Complex III,OXPHOS > Complex III
CIII subunits,OXPHOS > Complex III > CIII subunits
CIII assembly factors,OXPHOS > Complex III > CIII assembly factors
Complex IV,OXPHOS > Complex IV
CIV subunits,OXPHOS > Complex IV > CIV subunits
CIV assembly factors,OXPHOS > Complex IV > CIV assembly factors
Complex V,OXPHOS > Complex V
CV subunits,OXPHOS > Complex V > CV subunits
CV assembly factors,OXPHOS > Complex V > CV assembly factors
Respirasome assembly,OXPHOS > Respirasome assembly
Cytochrome C,OXPHOS > Cytochrome C
Metabolism,Metabolism
Carbohydrate metabolism,Metabolism > Carbohydrate metabolism
Gluconeogenesis,Metabolism > Carbohydrate metabolism > Gluconeogenesis
Malate-aspartate shuttle,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle
Glycerol phosphate shuttle,Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle
Pyruvate metabolism,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
TCA cycle,Metabolism > Carbohydrate metabolism > TCA cycle
TCA-associated,Metabolism > Carbohydrate metabolism > TCA-associated
Itaconate metabolism,Metabolism > Carbohydrate metabolism > Itaconate metabolism
Ketone metabolism,Metabolism > Carbohydrate metabolism > Ketone metabolism
Propanoate metabolism,Metabolism > Carbohydrate metabolism > Propanoate metabolism
Lipid metabolism,Metabolism > Lipid metabolism
Fatty acid oxidation,Metabolism > Lipid metabolism > Fatty acid oxidation
Type II fatty acid synthesis,Metabolism > Lipid metabolism > Type II fatty acid synthesis
Lipoate insertion,Metabolism > Lipid metabolism > Lipoate insertion
Cardiolipin synthesis,Metabolism > Lipid metabolism > Cardiolipin synthesis
"Cholesterol, bile acid, steroid synthesis","Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
Cholesterol-associated,Metabolism > Lipid metabolism > Cholesterol-associated
Phospholipid metabolism,Metabolism > Lipid metabolism > Phospholipid metabolism
Eicosanoid metabolism,Metabolism > Lipid metabolism > Eicosanoid metabolism
Amino acid metabolism,Metabolism > Amino acid metabolism
Branched-chain amino acid metabolism,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
Branched-chain amino acid dehydrogenase complex,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
Lysine metabolism,Metabolism > Amino acid metabolism > Lysine metabolism
Serine metabolism,Metabolism > Amino acid metabolism > Serine metabolism
Glycine metabolism,Metabolism > Amino acid metabolism > Glycine metabolism
Glycine cleavage system,Metabolism > Amino acid metabolism > Glycine cleavage system
Glutamate metabolism,Metabolism > Amino acid metabolism > Glutamate metabolism
Proline metabolism,Metabolism > Amino acid metabolism > Proline metabolism
Glyoxylate metabolism,Metabolism > Amino acid metabolism > Glyoxylate metabolism
GABA metabolism,Metabolism > Amino acid metabolism > GABA metabolism
Catechol metabolism,Metabolism > Amino acid metabolism > Catechol metabolism
Kynurenine metabolism,Metabolism > Amino acid metabolism > Kynurenine metabolism
Urea cycle,Metabolism > Amino acid metabolism > Urea cycle
Nucleotide metabolism,Metabolism > Nucleotide metabolism
Nucleotide import,Metabolism > Nucleotide metabolism > Nucleotide import
Nucleotide synthesis and processing,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
Creatine metabolism,Metabolism > Nucleotide metabolism > Creatine metabolism
Metals and cofactors,Metabolism > Metals and cofactors
Carnitine synthesis and transport,Metabolism > Metals and cofactors > Carnitine synthesis and transport
Carnitine shuttle,Metabolism > Metals and cofactors > Carnitine shuttle
Coenzyme A metabolism,Metabolism > Metals and cofactors > Coenzyme A metabolism
Coenzyme Q metabolism,Metabolism > Metals and cofactors > Coenzyme Q metabolism
Copper metabolism,Metabolism > Metals and cofactors > Copper metabolism
Iron homeostasis,Metabolism > Metals and cofactors > Iron homeostasis
Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing
Fe-S cluster biosynthesis,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
Molybdenum cofactor synthesis and proteins,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins
NAD biosynthesis and metabolism,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
Tetrahydobiopterin synthesis,Metabolism > Metals and cofactors > Tetrahydobiopterin synthesis
Fe-S-containing proteins,Metabolism > Metals and cofactors > Fe-S-containing proteins
Heme-containing proteins,Metabolism > Metals and cofactors > Heme-containing proteins
Vitamin metabolism,Metabolism > Vitamin metabolism
Choline and betaine metabolism,Metabolism > Vitamin metabolism > Choline and betaine metabolism
Biotin utilizing proteins,Metabolism > Vitamin metabolism > Biotin utilizing proteins
Vitamin A metabolism,Metabolism > Vitamin metabolism > Vitamin A metabolism
Vitamin B1 metabolism,Metabolism > Vitamin metabolism > Vitamin B1 metabolism
Vitamin B2 metabolism,Metabolism > Vitamin metabolism > Vitamin B2 metabolism
Vitamin B6 metabolism,Metabolism > Vitamin metabolism > Vitamin B6 metabolism
Vitamin B12 metabolism,Metabolism > Vitamin metabolism > Vitamin B12 metabolism
Vitamin C metabolism,Metabolism > Vitamin metabolism > Vitamin C metabolism
Vitamin D metabolism,Metabolism > Vitamin metabolism > Vitamin D metabolism
Folate and 1-C metabolism,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
Detoxification,Metabolism > Detoxification
Xenobiotic metabolism,Metabolism > Detoxification > Xenobiotic metabolism
ROS and glutathione metabolism,Metabolism > Detoxification > ROS and glutathione metabolism
Amidoxime reducing complex,Metabolism > Detoxification > Amidoxime reducing complex
Selenoproteins,Metabolism > Detoxification > Selenoproteins
Electron carriers,Metabolism > Electron carriers
Cytochromes,Metabolism > Electron carriers > Cytochromes
"Q-linked reactions, other","Metabolism > Electron carriers > Q-linked reactions, other"
Sulfur metabolism,Metabolism > Sulfur metabolism
Small molecule transport,Small molecule transport
SLC25A family,Small molecule transport > SLC25A family
ABC transporters,Small molecule transport > ABC transporters
Sideroflexins,Small molecule transport > Sideroflexins
Signaling,Signaling
Calcium homeostasis,Signaling > Calcium homeostasis
Calcium uniporter,Small molecule transport > Calcium uniporter
Calcium cycle,Signaling > Calcium homeostasis > Calcium cycle
Mitochondrial permeability transition pore,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore
EF hand proteins,Signaling > Calcium homeostasis > EF hand proteins
Immune response,Signaling > Immune response
cAMP-PKA signaling,Signaling > cAMP-PKA signaling
Mitochondrial dynamics and surveillance,Mitochondrial dynamics and surveillance
Fusion,Mitochondrial dynamics and surveillance > Fusion
Fission,Mitochondrial dynamics and surveillance > Fission
Organelle contact sites,Mitochondrial dynamics and surveillance > Organelle contact sites
Intramitochondrial membrane interactions,Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
Trafficking,Mitochondrial dynamics and surveillance > Trafficking
Mitophagy,Mitochondrial dynamics and surveillance > Mitophagy
Autophagy,Mitochondrial dynamics and surveillance > Autophagy
Apoptosis,Mitochondrial dynamics and surveillance > Apoptosis
Cristae formation,Mitochondrial dynamics and surveillance > Cristae formation
MICOS complex,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
